Check for Updates...	Zkontrolovat aktualizace...
List of date values representing days off (vacation, holidays, etc.)	Seznam dat reprezentujících volné dny (dny pracovního klidu, svátky apod.)
Returns the value 'true' if the number is even	Vrátí hodnotu 'pravda', je-li číslo sudé
Number	Číslo
The number	Číslo
Returns the value 'true' if the number is odd	Vrátí hodnotu 'pravda', je-li číslo liché
Number	Číslo
The number	Číslo
Returns the multinomial coefficient of a set of numbers	Vrátí koeficienty polynomu zadaných čísel
Number	Číslo
Number or list of numbers for which you want the multinomial coefficient	Číslo nebo seznam čísel, pro které chcete zjistit koeficienty polynomu
Returns the sum of a power series	Vrátí součet mocninné řady
X	X
The independent variable of the power series	Nezávislá proměnná mocninné řady
N	N
The initial power to which x is to be raised	Počáteční mocnina hodnoty X
M	M
The increment by which to increase n for each term in the series	Hodnota, o kterou se bude zvyšovat argument N pro každý člen řady
Coefficients	Koeficienty
Set of coefficients by which each successive power of the variable x is multiplied	Množina koeficientů, kterými budou mocniny proměnné X vynásobeny
Returns the integer portion of a division	Vrací celočíselnou část po vydělení
Numerator	Čitatel
The dividend	Dělenec
Denominator	Jmenovatel
The divisor	Dělitel
Returns a number rounded to a specified multiple	Vrátí číslo zaokrouhlené na zadaný násobek
Number	Číslo
The number to round off	Číslo k zaokrouhlení
Multiple	Násobek
The multiple to which you want to round number	Násobek, na který chcete číslo zaokrouhlit
Returns the square root of a number which has been multiplied by pi	Vrátí druhou odmocninu čísla vynásobeného číslem pí
Number	Číslo
The number by which pi is multiplied	Číslo, kterým je PI vynásobeno
Returns a random integer between the numbers you specify	Vrátí náhodné celé číslo v zadaném intervalu
Bottom	Dolní mez
The smallest integer returned	Nejmenší vrácené celé číslo
Top	Horní mez
The largest integer returned	Největší vrácené celé číslo
"Returns the greatest common divisor.
This function exists for interoperability with older Microsoft Excel documents, for new documents use GCD instead."	"Vrátí největšího společného dělitele.
Tato funkce existuje pouze kvůli interoperabilitě se staršími dokumenty programu Microsoft Excel, v novějších dokumentech místo ní použijte funkci GCD."
Number	Číslo
Number or list of numbers	Číslo nebo seznam čísel
"Returns the least common multiple.
This function exists for interoperability with older Microsoft Excel documents, for new documents use LCM instead."	"Vrátí nejmenší společný násobek.
Tato funkce existuje pouze kvůli interoperabilitě se staršími dokumenty programu Microsoft Excel, v novějších dokumentech místo ní použijte funkci LCM."
Number	Číslo
Number or list of numbers	Číslo nebo seznam čísel
Returns the modified Bessel function In(x)	Vrátí modifikovanou Besselovu funkci In(x)
X	X
The value at which the function is to be evaluated	Hodnota, pro kterou je funkce vyhodnocena
N	N
The order of the Bessel function	Řád Besselovy funkce
Returns the Bessel function Jn(x)	Vrátí Besselovu funkci Jn(x)
X	X
The value at which the function is to be evaluated	Hodnota, pro kterou je funkce vyhodnocena
N	N
The order of the Bessel function	Řád Besselovy funkce
Returns the Bessel function Kn(x)	Vrátí Besselovu funkci Kn(x)
X	X
The value at which the function is to be evaluated	Hodnota, pro kterou je funkce vyhodnocena
N	N
The order of the Bessel function	Řád Besselovy funkce
Returns the Bessel function Yn(x)	Vrátí Besselovu funkci Yn(x)
X	X
The value at which the function is to be evaluated	Hodnota, pro kterou je funkce vyhodnocena
N	N
The order of the Bessel function	Řád Besselovy funkce
Converts a binary number to an octal number	Převede číslo vyjádřené ve dvojkové soustavě do soustavy osmičkové
Number	Číslo
The binary number to be converted (as text)	Převáděné číslo ve dvojkové soustavě (zadané jako text)
Places	Míst
Number of places used	Počet použitých míst
Converts a binary number to a decimal number	Převádí číslo vyjádřené ve dvojkové soustavě do soustavy desítkové
Number	Číslo
The binary number to be converted (as text)	Převáděné číslo ve dvojkové soustavě (zadané jako text)
Converts a binary number to a hexadecimal number	Převádí číslo vyjádřené ve dvojkové soustavě do soustavy šestnáctkové
Number	Číslo
The binary number to be converted (as text)	Převáděné číslo ve dvojkové soustavě (zadané jako text)
Places	Míst
Number of places used.	Počet použitých míst.
Converts an octal number to a binary number	Převádí číslo vyjádřené v osmičkové soustavě do dvojkové soustavy
Number	Číslo
The octal number to be converted (as text)	Převáděné číslo v osmičkové soustavě (zadané jako text)
Places	Míst
Number of places used	Počet použitých míst
Converts an octal number to a decimal number	Převádí číslo vyjádřené v osmičkové soustavě do soustavy desítkové
Number	Číslo
The octal number to be converted (as text)	Převáděné číslo v osmičkové soustavě (zadané jako text)
Converts an octal number to a hexadecimal number	Převádí číslo vyjádřené v osmičkové soustavě do soustavy šestnáctkové
Number	Číslo
The octal number to be converted (as text)	Převáděné číslo v osmičkové soustavě (zadané jako text)
Places	Míst
Number of places used	Počet použitých míst
Converts a decimal number to a binary number	Převádí číslo vyjádřené v desítkové soustavě do soustavy dvojkové
Number	Číslo
The decimal integer to be converted	Převáděné celé číslo
Places	Míst
Number of places used	Počet použitých míst
Converts a decimal number to a hexadecimal number	Převádí číslo vyjádřené v desítkové soustavě do soustavy šestnáctkové
Number	Číslo
The decimal integer to be converted	Převáděné celé číslo
Places	Míst
Number of places used	Počet použitých míst
Converts a decimal number into an octal number	Převádí číslo vyjádřené v desítkové soustavě do soustavy osmičkové
Number	Číslo
The decimal number	Desetinné číslo
Places	Míst
Number of places used	Počet použitých míst
Converts a hexadecimal number to a binary number	Převádí číslo vyjádřené v šestnáctkové soustavě do soustavy dvojkové
Number	Číslo
The hexadecimal number to be converted (as text)	Převáděné číslo v šestnáctkové soustavě (zadané jako text)
Places	Míst
Number of places used	Počet použitých míst
Converts a hexadecimal number to a decimal number	Převádí číslo vyjádřené v šestnáctkové soustavě do soustavy desítkové
Number	Číslo
The hexadecimal number to be converted (as text)	Převáděné číslo v šestnáctkové soustavě (zadané jako text)
Converts a hexadecimal number to an octal number	Převádí číslo vyjádřené v šestnáctkové soustavě do soustavy osmičkové
Number	Číslo
The hexadecimal number to be converted (as text)	Převáděné číslo v šestnáctkové soustavě (zadané jako text)
Places	Míst
Number of places used	Počet použitých míst
Tests whether two values are equal	Testuje, zda jsou dvě hodnoty stejné
Number 1	Číslo 1
The first number	První číslo
Number 2	Číslo 2
The second number	Druhé číslo
Returns the error function	Vrátí chybovou funkci
Lower limit	Dolní mez
The lower limit for integration	Dolní mez pro výpočet integrálu
Upper limit	Horní mez
The upper limit for integration	Horní mez pro výpočet integrálu
Returns the complementary error function	Vrátí doplňkovou chybovou funkci
Lower limit	Dolní mez
The lower limit for integration	Dolní mez pro výpočet integrálu
Tests whether a number is greater than a threshold value	Testuje, zda je číslo větší než prahová hodnota
Number	Číslo
The value to test against step	Testované číslo
Step	Krok
The threshold value	Prahová hodnota
Returns the double factorial of Number	Vrací dvojitý faktoriál čísla
Number	Číslo
The number	Číslo
Returns the absolute value (modulus) of a complex number	Vrací absolutní hodnotu (modulus) komplexního čísla
Complex number	Komplexní číslo
The complex number	Komplexní číslo
Returns the imaginary coefficient of a complex number	Vrací imaginární část komplexního čísla
Complex number	Komplexní číslo
The complex number	Komplexní číslo
Returns a complex number raised to a real power	Vrátí komplexní číslo umocněné na reálné číslo
Complex number	Komplexní číslo
The complex number	Komplexní číslo
Number	Číslo
Power to which the complex number is raised	Mocnina, na kterou se má komplexní číslo umocnit
Returns the argument theta, an angle expressed in radians	Vrací argument théta, úhel vyjádřený v radiánech
Complex number	Komplexní číslo
A complex number	Komplexní číslo
Returns the cosine of a complex number	Vrací kosinus komplexního čísla
Complex number	Komplexní číslo
A complex number	Komplexní číslo
Returns the quotient of two complex numbers	Vrací podíl dvou komplexních čísel
Numerator	Čitatel
The dividend	Dělenec
Denominator	Jmenovatel
The divisor	Dělitel
Returns the algebraic form of the exponential of a complex number	Vrací algebraickou formu exponenciálu komplexního čísla
Complex number	Komplexní číslo
The complex number	Komplexní číslo
Returns the complex conjugate of a complex number	Vrací komplexní číslo sdružené
Complex number	Komplexní číslo
The complex number	Komplexní číslo
Returns the natural logarithm of a complex number	Vrací přirozený logaritmus komplexního čísla
Complex number	Komplexní číslo
The complex number	Komplexní číslo
Returns the base-10 logarithm of a complex number	Vrací dekadický logaritmus komplexního čísla
Complex number	Komplexní číslo
The complex number	Komplexní číslo
Returns the base-2 logarithm of a complex number	Vrací binární logaritmus komplexního čísla
Complex number	Komplexní číslo
The complex number	Komplexní číslo
Returns the product of several complex numbers	Vrací součin několika komplexních čísel
Complex number	Komplexní číslo
The first complex number	První komplexní číslo
Another complex number	Další komplexní číslo
Returns the real coefficient of a complex number	Vrací reálnou část komplexního čísla
Complex number	Komplexní číslo
The complex number	Komplexní číslo
Returns the sine of a complex number	Vrací sinus komplexního čísla
Complex number	Komplexní číslo
The complex number	Komplexní číslo
Returns the difference of two complex numbers	Vrací rozdíl dvou komplexních čísel
Complex number 1	Komplexní číslo 1
Complex number 2	Komplexní číslo 2
Returns the square root of a complex number	Vrací druhou odmocninu komplexního čísla
Complex number	Komplexní číslo
The complex number	Komplexní číslo
Returns the sum of complex numbers	Vrací součet komplexních čísel
Complex number	Komplexní číslo
The complex number	Komplexní číslo
Returns the tangent of a complex number	Vrátí tangens komplexního čísla
Complex number	Komplexní číslo
A complex number	Komplexní číslo
Returns the secant of a complex number	Vrací sekans komplexního čísla
Complex number	Komplexní číslo
A complex number	Komplexní číslo
Returns the cosecant of a complex number	Vrací kosekans komplexního čísla
Complex number	Komplexní číslo
A complex number	Komplexní číslo
Returns the cotangent of a complex number	Vrací kotangens komplexního čísla
Complex number	Komplexní číslo
A complex number	Komplexní číslo
Returns the hyperbolic sine of a complex number	Vrací hyperbolický sinus komplexního čísla
Complex number	Komplexní číslo
A complex number	Komplexní číslo
Returns the hyperbolic cosine of a complex number	Vrací hyperbolický kosinus komplexního čísla
Complex number	Komplexní číslo
A complex number	Komplexní číslo
Returns the hyperbolic secant of a complex number	Vrací hyperbolický sekans komplexního čísla
Complex number	Komplexní číslo
A complex number	Komplexní číslo
Returns the hyperbolic cosecant of a complex number	Vrací hyperbolický kosekans komplexního čísla
Complex number	Komplexní číslo
A complex number	Komplexní číslo
Converts real and imaginary coefficients into a complex number	Převede reálnou a imaginární část na komplexní číslo
Real num	Reálné číslo
The real coefficient	Reálný koeficient
I num	Im číslo
The imaginary coefficient	Imaginární koeficient
Suffix	Přípona
The suffix	Přípona
Converts a number from one measurement system to another	Převede číslo z jednoho měrného systému do jiného
Number	Číslo
The number	Číslo
From unit	Z jednotky
Unit of measure for number	Měrná jednotka čísla
To unit	Na jednotku
Unit of measure for the result	Měrná jednotka výsledku
Returns the prorated linear depreciation of an asset for each accounting period	Vrátí částku odpisu pro odpisové období
