on	zapnout
Align to Top of Line	Zarovnat na vrchol řádku
Middle on Section	Zarovnat na střed v sekci
Centered on Section	Zarovnat na střed v sekci
Align Center	Zarovnat na střed
Align to Bottom of Line	Zarovnat na patu řádku
Align to Top of Character	Zarovnat k vrcholu znaku
Align to Bottom of Character	Zarovnat k patě znaku
Aligned at	Zarovnat k
Bottom Align on Section	Zarovnat dolů v sekci
Align Bottom	Zarovnat dolů
Align to bottom	Zarovnat dolů
Align Left - Highlighted	Zarovnat doleva - zvýrazněné
Align Left - Border	Zarovnat doleva - okraj
Align Left - Modern	Zarovnat doleva - moderní
Align Left - Compact	Zarovnat doleva - kompaktní
Align Left - Elegant	Zarovnat doleva - elegantní
Align Left - Red & Blue	Zarovnat doleva - červená a modrá
Align Justified	Zarovnat do bloku
Align data series to	Zarovnat datové řady na
Align %1 to right	Zarovnat %1 vpravo
Align %1 to left	Zarovnat %1 vlevo
Align %1 to top	Zarovnat %1 nahoru
Align %1 to bottom	Zarovnat %1 dolů
Alignment...	Zarovnání...
Alignment:	Zarovnání:
Alignment:	Zarovnání:
Align at Section	Zarovnání v sekci
Math baseline alignment	Zarovnání účaří matematiky
Text alignment	Zarovnání textu
Table alignment:	Zarovnání tabulky:
Table alignment	Zarovnání tabulky
Section alignment	Zarovnání sekce
Fontwork alignment	Zarovnání písmomalby
Fontwork Alignment	Zarovnání písmomalby
Paragraph alignment	Zarovnání odstavce
Paragraph alignment	Zarovnání odstavce
Graphics alignment	Zarovnání obrázku
Align to text body	Zarovnání k tělu textu
Right Align	Zarovnání doprava
Left Align	Zarovnání doleva
Numbering alignment	Zarovnání číslování
Numbering Alignment	Zarovnání číslování
Numbering alignment	Zarovnání číslování
Numbering Alignment	Zarovnání číslování
Alignment 	Zarovnání 
Align	Zarovnání
Alignment	Zarovnání
Alignment 	Zarovnání
Alignment	Zarovnání
Right-aligned	Zarovnané vpravo
Text body justified	Zarovnané textové tělo
Aligned at	Zarovnané na
Aligns text vertically.	Zarovná text svisle.
FlmExpDate	ZárFilm
Registered databases ...	Zaregistrované databáze...
Registered databases	Zaregistrované databáze
Typist	Zapsal
Negative:	Záporné:
Negative Y-Error-Bars	Záporné chybové úsečky Y
Negative X-Error-Bars	Záporné chybové úsečky X
Negative Binomial	Záporně binomické
Negative and Positive	Záporné a kladné
Negative (-)	Záporné (-)
Negative	Záporné
Negative	Záporné
Negative numbers red	Záporná čísla červeně
Negative numbers red	Záporná čísla červeně
Getting Involved	Zapojujeme se
on	zapnuto
Enabled	Zapnuto
Apply Extrusion On/Off	Zapnout/Vypnout plastičnost
Enable drill to details	Zapnout zobrazení podrobností
MultiSelection On	Zapnout vícenásobný výběr
Extended Selection On	Zapnout rozšířený výběr
Wrap Contour On	Zapnout obrysy zap
Toggle the use of R1C1 notation	Zapnout notaci R1C1
Toggle Grid Lines for Current Sheet	Zapnout mřížku pro aktuální list
On	Zapnout
Fill holes:	Zaplnit mezery:
PaymntAmnt	ZaplČástka
AmountPaid	Zaplaceno
PaymentAmount	ZaplacenáČástka
Minute keeper	Zapisovatel
Writing system registry values	Zápis hodnot do systémového registru
Writing INI file values	Zápis hodnot do souborů INI
Footer on	Zápatí zapnuto
Footer right	Zápatí vpravo
Footer Right	Zápatí vpravo
Footer left	Zápatí vlevo
Footer Left	Zápatí vlevo
Footer page $(ARG1)	Zápatí stránky $(ARG1)
Footer of page %1	Zápatí stránky %1
Page footer	Zápatí stránky
Page Footer	Zápatí stránky
Column Footer	Zápatí sloupce
GroupFooter	Zápatí skupiny
Group Footer	Zápatí skupiny
Report Footer	Zápatí sestavy
Footer $(ARG1)	Zápatí $(ARG1)
Footer (right)	Zápatí (vpravo)
Footer (left)	Zápatí (vlevo)
Footer (%1)	Zápatí (%1)
Footer	Zápatí
Footers	Zápatí
Footer	Zápatí
Bottom row	Zápatí
Remember password until end of session	Zapamatovat heslo do konce relace
Remember password	Zapamatovat heslo
Western text: 	Západní text:
Western text and Asian punctuation	Západní text a asijská interpunkce
Western Europe (Windows-1252/WinLatin 1)	Západní Evropa (Windows-1252/WinLatin 1)
Western Europe (ISO-8859-15/EURO)	Západní Evropa (ISO-8859-15/EURO)
Western Europe (ISO-8859-14)	Západní Evropa (ISO-8859-14)
Western Europe (ISO-8859-1)	Západní Evropa (ISO-8859-1)
Western Europe (DOS/OS2-865/Nordic)	Západní Evropa (DOS/OS2-865/Severní Evropa)
Western Europe (DOS/OS2-863/French (Can.))	Západní Evropa (DOS/OS2-863/Francouzština (Kanada))
Western Europe (DOS/OS2-861/Icelandic)	Západní Evropa (DOS/OS2-861/Islandština)
Western Europe (DOS/OS2-860/Portuguese)	Západní Evropa (DOS/OS2-860/portugalština)
Western Europe (DOS/OS2-850/International)	Západní Evropa (DOS/OS2-850/Mezinárodní)
Western Europe (DOS/OS2-437/US)	Západní Evropa (DOS/OS2-437/US)
Western Europe (ASCII/US)	Západní Evropa (ASCII/US)
Western Europe (Apple Macintosh/Icelandic)	Západní Evropa (Apple Macintosh/islandsky)
Western Europe (Apple Macintosh)	Západní Evropa (Apple Macintosh)
Western	západní
Western	Západní
Sunset	Západ slunce
Sharpen	Zaostřit
Rounds a number to a predefined accuracy.	Zaokrouhlí číslo na definovaný počet míst.
Round	Zaokrouhlení
Rounded Parallelogram	Zaoblený rovnoběžník
Rounded rectangle	Zaoblený obdélník
rounded rhombus	zaoblený kosočtverec
Curved Square	Zaoblený čtverec
rounded square	zaoblený čtverec
Rounded Square	Zaoblený čtverec
Line cap round	Zaoblené zakončení čáry
Curved X	Zaoblené X
Rounded parallelograms	Zaoblené rovnoběžníky
Rounded edges	Zaoblené rohy
Rounded Rectangles	Zaoblené obdélníky
Rounded rhombuses	Zaoblené kosočtverce
Rounded edges	Zaoblené hrany
Rounded Squares	Zaoblené čtverce
Rounded large arrow	Zaoblená velká šipka
Rounded short arrow	Zaoblená krátká šipka
Curvy Star	Zaoblená hvězda
Busy	Zaneprázdněno
EmplTaskID	ZamÚkID
Protected Sheet	Zamknutý list
Protected against manual changes	Zamknuto proti ručním změnám
Protected	Zamknuto
Protected cells can not be modified.	Zamknuté buňky nelze měnit.
Protect...	Zamknout...
Protect...	Zamknout...
Protect Records...	Zamknout záznamy...
Lock Toolbar Position	Zamknout umístění lišty
Protect Document	Zamknout dokument
Protect	Zamknout
Protect	Zamknout
Reject change: $1	Zamítnout změnu: $1
EmployeeTaskID	ZaměstnanecÚkolID
EmployeesTasks	ZaměstnanciÚkoly
Employees	Zaměstnanci
Control Focus	Zaměření ovl. prvku
Exchange characters	Zaměnit znaky
Change Case	Zaměnit velká a malá písmena
Change three dots with ellipsis.	Zaměnit tři tečky za výpustku.
Exchange	Zaměnit
Password-protected files cannot be opened.	Zamčené soubory nejsou podporovány.
Folder Bookmarks	Záložky pro složku
Sheet tabs	Záložky listů
Bookmarks and page	Záložky a stránka
Bookmark	Záložky
Bookmarks	Záložky
Bookmarks	Záložky
Bookmark...	Záložka...
Bookmark:	Záložka:
Netscape Bookmark	Záložka Netscape
Bookmark	Záložka
Break after new column	Zalomit za novým sloupcem
Break after new page	Zalomit za novou stránkou
Word wrap text in shape	Zalomit text podle tvaru
Word wrap text in shape	Zalomit text do tvaru
Wrap text	Zalomit text
Wrap text	Zalomit text
Break before new column	Zalomit před novým sloupcem
Break before new page	Zalomit před novou stránkou
Break before and after new column	Zalomit před a za novým sloupcem
Break before and after new page	Zalomit před a za novou stránkou
Pagebreak	Zalomení stránky
page break	zalomení stránky
Page break	Zalomení stránky
Page Break	Zalomení stránky
Page breaks	Zalomení stránky
Page Break	Zalomení stránky
Page breaks	Zalomení stránky
Page and column breaks	Zalomení stránek a sloupců
Word break	Zalomení slova
column break	zalomení sloupce
Column break	Zalomení sloupce
Column Break	Zalomení sloupce
$1 line break(s)	Zalomení řádku: $1
Line break	Zalomení řádku
Row Break	Zalomení řádku
Paragraph break	Zalomení odstavce
Break	Zalomení
Breaks	Zalomení
Break	Zalomení
Breaks	Zalomení
Backups	Zálohy
Backup Document	Zálohovat dokument
Backup your Document	Záloha dokumentu
DepositDue	Záloha
Rounded	Zakulacený
Round	Zakulacené
Rounded Rectangular Callout	Zakulacená obdélníková bublina
Curve %1 in circle	Zakřivit %1 do kruhu
Curved Connector Starts with Arrow	Zakřivená spojnice začíná šipkou
Curved Connector Starts with Circle	Zakřivená spojnice začíná kružnicí
Curved Connector with Arrows	Zakřivená spojnice se šipkou
Curved Connector with Circles	Zakřivená spojnice s kružnicí
Curved Connector Ends with Arrow	Zakřivená spojnice končí šipkou
Curved Connector Ends with Circle	Zakřivená spojnice končí kružnicí
Curved Connector	Zakřivená spojnice
Angled Connector Line	Zakřivená spojnice
End text lines with CR+LF	Zakončit řádky textu pomocí CR+LF
pencap|linecap	zakončenípera|zakončeníčáry
Yi Radicals	Základní znaky Yi
Kangxi Radicals	Základní znaky Kangxi
Radical	Základní znak
Primary height	Základní výška
Max. base text size:	Základní velikost textu:
Max. base text size	Základní velikost textu
Base size	Základní velikost
Base line centered	Základní uprostřed
Basic Shapes	Základní tvary
Base text 	Základní text 
Base text	Základní text
Basic Greek	Základní řecké
Base item	Základní položka
Base field	Základní pole
Basic Fonts (Western)	Základní písma (západní)
Basic Fonts (CTL)	Základní písma (CTL)
Basic Fonts (Asian)	Základní písma (asijská)
Basic fonts (%1)	Základní písma (%1)
Base line at top	Základní nahoře
Basic Latin	Základní latinka
Basic Hebrew	Základní hebrejské
Basic Georgian	Základní gruzínské
Base line at bottom	Základní dole
Base DN	Základní DN
Base line	Základní čára
Base point:	Základní bod:
Base point	Základní bod
Basic Arabic	Základní arabské
Basic	Základní
Reference edge	Základna
Base in Middle	Základ uprostřed
Base at Top	Základ nahoře
Base at Bottom	Základ dole
The base a of the power a^b.	Základ a výrazu a^b.
Base	Základ
The basis	Základ
Disabling %EXTENSIONNAME	Zakazuje se %EXTENSIONNAME
CustomerID	ZákazníkID
Customers	Zákazníci
Disable all	Zakázat vše
Do not allow modification of existing data	Zakázat úpravu existujících dat
Disable systray Quickstarter	Zakázat rychlé spouštění
Do not allow addition of new data	Zakázat přidání nových dat
Disable CUPS Support	Zakázat podporu CUPS
Do not allow deletion of existing data	Zakázat odstranění existujících dat
Disable Preview	Zakázat náhled
Disable Macros	Zakázat makra
Disable Macros	Zakázat makra
Disable	Zakázat
Forbidden characters	Zakázané znaky
SpousesInterests	ZájmyPartnery
ContactsInterests	ZájmyKontaktu
Glue point from %1	Záchytný bod z %1
Glue Point Vertical Center	Záchytný bod vertikálně uprostřed
Glue Point Vertical Top	Záchytný bod vertikálně nahoře
Glue Point Vertical Bottom	Záchytný bod vertikálně dole
Glue Point Horizontal Right	Záchytný bod horizontálně vpravo
Glue Point Horizontal Left	Záchytný bod horizontálně vlevo
Glue Point Horizontal Center	Záchytný bod horizontálně uprostřed
Gluepoints	Záchytné body
Glue Points	Záchytné body
caught exception:	zachycená výjimka:
Shimmer	Zachvění
Keep All Others	Zachovat všechny cizí
Keep image size	Zachovat velikost obrázku
Keep Aspect Ratio	Zachovat poměr stran
Keep ratio	Zachovat poměr
Keep Ratio	Zachovat poměr
Keep ratio	Zachovat poměr
Keep Link	Zachovat odkaz
Keep Mine	Zachovat moje
Keep scale	Zachovat měřítko
Preserve as Link	Zachovat jako odkaz
Keep spacing interval	Zachovat intervaly mezer
Keep Other	Zachovat cizí
Preserve	Zachovat
Warming up	Zahřívání
Include this paragraph in line numbering	Zahrnout tento odstavec do číslování řádků
Include values from hidden cells	Zahrnout hodnoty ze skrytých buněk
Include formats	Zahrnout formáty
Include formats	Zahrnout formátování
Include formats	Zahrnout formát
Include output of empty pages	Zahrnout do výstupu prázdné stránky
Include output of empty pages	Zahrnout do výstupu prázdné stránky
Include on page	Zahrnout do stránky
Include on slide	Zahrnout do snímku
Include Date	Zahrnout datum
Include Time	Zahrnout čas
Include	Zahrnout
foreign/domestic	zahraniční/domácí
Drop structure	Zahodit strukturu
Discard	Zahodit
Page Header/Footer...	Záhlaví/zápatí stránky...
Page Header/Footer	Záhlaví/zápatí stránky
Column Header/Footer	Záhlaví/zápatí sloupce
Report Header/Footer...	Záhlaví/zápatí sestavy...
Report Header/Footer	Záhlaví/zápatí sestavy
Header/footer changed	Záhlaví/zápatí bylo změněno
Headers/Footers	Záhlaví/Zápatí
Header on	Záhlaví zapnuto
Header right	Záhlaví vpravo
Header Right	Záhlaví vpravo
Header left	Záhlaví vlevo
Header Left	Záhlaví vlevo
Table Header	Záhlaví tabulky
Header page $(ARG1)	Záhlaví stránky $(ARG1)
Header of page %1	Záhlaví stránky %1
Page header	Záhlaví stránky
Page Header	Záhlaví stránky
Column & Row Headers	Záhlaví sloupců a řádků
Column and row headers	Záhlaví sloupců a řádků
Columns and row headers	Záhlaví sloupců a řádků
Column labels	Záhlaví sloupců
Column/row headers	Záhlaví sloupce/řádku
Column Header	Záhlaví sloupce
GroupHeader	Záhlaví skupiny
Group Header	Záhlaví skupiny
Report Header	Záhlaví sestavy
Row & Column Headers	Záhlaví řádků a sloupců
Header and Footer...	Záhlaví a zápatí...
Headers & Footers...	Záhlaví a zápatí...
Header and Footer	Záhlaví a zápatí
Header $(ARG1)	Záhlaví $(ARG1)
Header (right)	Záhlaví (napravo)
Header (left)	Záhlaví (nalevo)
Header (%1)	Záhlaví (%1)
Header	Záhlaví
Headers	Záhlaví
Header	Záhlaví
Heading	Záhlaví
Heading	Záhlaví
Top row	Záhlaví
Stock Chart 2	Zahájení-miminum-maximum-závěr
Back sides / left pages	Zadní strany / levé stránky
Back	Zadní
Re-type	Zadejte znovu
Please enter a binding expression.	Zadejte výraz pro vazbu.
Enter general information for your web site	Zadejte všeobecné informace o vašem webovém serveru
Enter a width for the selected object.	Zadejte šířku vybraného objektu.
Please enter your e-mail address	Zadejte svou adresu elektronické pošty
Please enter your information.	Zadejte požadované informace.
Please type in a valid file name.	Zadejte platný název souboru.
Enter PIN:	Zadejte PIN:
Enter text for the footer	Zadejte obsah zápatí
Please specify a name.	Zadejte název.
Please enter a name for the printer.	Zadejte název tiskárny.
Please enter a name for the hatching:	Zadejte název šrafování:
Enter template name:	Zadejte název šablony:
Please enter a name for the line style:	Zadejte název stylu čáry:
Enter folder name:	Zadejte název složky:
Please enter a name for the bitmap:	Zadejte název rastru:
Please enter a name for the gradient:	Zadejte název přechodu:
Please enter a name for the new color:	Zadejte název pro novou barvu:
Define Name for Range	Zadejte název oblasti
Enter the name for the new macro.	Zadejte název nového makra.
Type a name for the new data type:	Zadejte název nového datového typu:
Please enter a name for the new arrowhead:	Zadejte název nové šipky:
Enter the name for the new library.	Zadejte název nové knihovny.
Set the name of the form	Zadejte název formuláře
Enter Title	Zadejte název
Enter the maximum text length permitted.	Zadejte maximální povolenou délku textu.
Enter the value for the vertical position.	Zadejte hodnotu svislého umístění.
Enter Master Password	Zadejte hlavní heslo
Enter password: 	Zadejte heslo: 
Enter password:	Zadejte heslo:
Re-type password	Zadejte heslo znovu
Re-type Password	Zadejte heslo znovu
Enter password to allow editing	Zadejte heslo pro možnost editace
Enter password for 'XX'	Zadejte heslo pro 'XX'
Enter password to open	Zadejte heslo k otevření
Enter password	Zadejte heslo
Enter Password	Zadejte heslo
Enter password	Zadejte heslo
